idiom,num_contexts,contexts
A alguien le patina el embrague,0,
A caballo regalado no le mires el diente,0,
"A enemigo que huye, puente de plata",0,
"A falta de pan, buenas son tortas",0,
A la tercera va la vencida,0,
A nadie le amarga un dulce,0,
"A rey muerto, rey puesto",0,
"A río revuelto, ganancia de pescadores",0,
Abrir el paraguas antes que llueva,0,
Abrir la caja de los truenos,0,
Acabar como el rosario de la aurora,0,
Acercar posiciones,0,
Acordarse de Santa Bárbara cuando truena,0,
Actuar bajo cuerda,0,
Adelantarse a su tiempo,0,
Afilarse las uñas,0,
Aflojar la mosca,0,
Aflojar las riendas,0,
Agachar las orejas,0,
Agarrarse a un clavo ardiendo,0,
Agárrate que vienen curvas,0,
Agitar el avispero,0,
Aguantar mecha,0,
Aguántate mientras cobro,0,
Agudizar el ingenio,0,
Ahogar las penas,0,
Ahogarse en un vaso de agua,0,
Ahuecar el ala,0,
Airear los trapos sucios,0,
Alegrar la vista,0,
Allanar el camino,0,
Alucinar por un tubo,0,
Alzar el vuelo,0,
Andar a la greña,0,
Andar a salto de mata,0,
Andar como Pedro por su casa,0,
Andar con cien ojos,0,
Andar con la soga al cuello,0,
Andar con ojo,0,
Andar con pies de plomo,0,
Andar de capa caída,0,
Andar en la cuerda floja,0,
Andar mal de la azotea,0,
Andar pisando huevos,0,
Andarse con rodeos,0,
Andarse por las ramas,0,
Anunciar a bombo y platillo,0,
Apaga y vámonos,0,
Aparecer por arte de birlibirloque,0,
Aplicar doble vara de medir,0,
Apostar a caballo ganador,0,
Apostar por alguien,0,
Apuntar maneras,0,
Apuntarse a un bombardeo,0,
Aquellos polvos trajeron estos lodos,0,
Aquí hay gato encerrado,0,
Aquí hay tema,0,
"Aquí te pillo, aquí te mato",0,
Arañar votos,0,
Armarse la de Dios es Cristo,0,
Armarse la Marimorena,0,
Arrancar un problema de raíz,0,
Arreglárselas bien,0,
Arrimar el ascua a su sardina,0,
Arrimar el hombro,0,
Arrimarse al sol que más calienta,0,
Así le luce el pelo,0,
Atar cabos,0,
Atar los perros con longaniza,0,
Atarse los machos,0,
Bailar con la más fea,0,
Bajar los humos,0,
Bajar marcha,0,
Bajarse del burro,0,
Bajarse los pantalones,0,
Barrer para casa,0,
Batirse el cobre con alguien,0,
Beber los vientos por alguien,0,
Besar el culo a alguien,0,
Brillar por su ausencia,0,
"Burro grande, ande o no ande",0,
Buscarle a uno las cosquillas,0,
Buscarle las vueltas a alguien,0,
Buscarle tres pies al gato,0,
Cada cual habla de la feria según le va en ella,0,
Caer chuzos de punta,0,
Caer como una bomba,0,
Caer en saco roto,0,
Caerse de la higuera,0,
Caerse la cara de vergüenza,0,
Caérsele el mundo encima,0,
Caérsele el pelo a alguien,0,
Caérsele la baba,0,
Caérsele los anillos,0,
Cagarse de miedo,0,
Calentar motores,0,
Calentarle la cabeza a alguien,0,
Callarse como una puta,0,
Cambiar de chaqueta,0,
Cambiar de disco,0,
Cambiar de tercio,0,
Cambiar el agua al canario,0,
Campar a sus anchas,0,
Cantar como una almeja,0,
Cantar la caña,0,
Cantar victoria,0,
Cantarle a alguien las cuarenta,0,
Cargar con el mochuelo,0,
Cargar pilas,0,
Cargarle el muerto a alguien,0,
Casarse de penalti,0,
Cavarse su propia tumba,0,
Caza de brujas,0,
Cerrar a cal y canto,0,
Cerrar el pico,0,
Cerrar filas,0,
Cerrar heridas,0,
Cerrarle la boca a alguien,0,
Cerrarse en banda,0,
Chupar cámara,0,
Chupar del bote,0,
Chuparle la sangre a alguien,0,
Chuparse el dedo,0,
Coger carretera y manta,0,
Coger el rábano por las hojas,0,
Coger el toro por los cuernos,0,
Coger las riendas,0,
Coger un globo,0,
Coger una mona,0,
Colgar el sambenito a alguien,0,
Colgar las botas,0,
Comer como una lima,0,
Comer de gorra,0,
Comer techo,0,
Comerle la oreja a alguien,0,
Comerse el coco,0,
Comerse el marrón,0,
Comerse el mundo,0,
Comerse la lengua el gato,0,
Comerse los mocos,0,
"Como te muerdas la lengua, te envenenas",0,
Compra un bosque y piérdete,0,
Compuesta y sin novio,0,
Con el pan de mis hijos no se juega,0,
Conocer a alguien como si lo hubieras parido,0,
Conocer el percal,0,
Construir castillos en el aire,0,
Consultar con la almohada,0,
Contar cuentos chinos,0,
Convertirse en una merienda de negros,0,
Correr la voz,0,
Correr un tupido velo,0,
Cortar el bacalao,0,
Cortar el rollo,0,
Cortar las alas,0,
Cortar por lo sano,0,
Cortarse la coleta,0,
Costar algo Dios y ayuda,0,
Costar un ojo de la cara,0,
Costar un riñón,0,
Creer a pies juntillas,0,
Creerse el ombligo del mundo,0,
Cría cuervos y te sacarán los ojos,0,
Criar a alguien entre algodones,0,
Criar malvas,0,
Cruzar el charco,0,
Cruzarle la cara a alguien,0,
Cuando las ranas críen pelo,0,
Cubrir el expediente,0,
Cubrirse las espaldas,0,
Curarse en salud,0,
Dar aire,0,
Dar calabazas,0,
Dar carta blanca,0,
Dar coba,0,
Dar de sí,0,
Dar el callo,0,
Dar el cante,0,
Dar el coñazo,0,
Dar el día a alguien,0,
Dar el espectáculo,0,
Dar el golpe de gracia,0,
Dar el pego,0,
Dar el soplo,0,
Dar en el blanco,0,
Dar en el clavo,0,
Dar esquinazo a alguien,0,
Dar estopa,0,
Dar gato por liebre,0,
Dar jarabe de palo,0,
Dar la cara,0,
Dar la lata,0,
Dar la nota,0,
Dar la vara,0,
Dar las uvas,0,
Dar luz verde,0,
Dar mala espina,0,
Dar manga ancha,0,
Dar mil vueltas a alguien,0,
Dar mucha guerra,0,
Dar palos de ciego,0,
Dar pasos en falso,0,
Dar patadas al diccionario,0,
Dar por donde amargan los pepinos,0,
Dar un braguetazo,0,
Dar vela en un entierro,0,
Darle a la sin hueso,0,
Darle betún a alguien,0,
Darle la vuelta a la tortilla,0,
Darle vueltas a la cabeza,0,
Darle vueltas a un asunto,0,
Darlo todo,0,
Darse con un canto en los dientes,0,
Darse de bruces con algo/alguien,0,
Darse un baño de multitudes,0,
Darse un baño de realidad,0,
Darse un buen tute,0,
Darse un leñazo,0,
Dársela a uno con queso,0,
"De perdidos, al río",0,
De casta le viene al galgo,0,
Decir algo con la boca pequeña,0,
Decir algo por activa y por pasiva,0,
Decirle a alguien cuatro verdades,0,
Defender a capa y espada,0,
Defenderse como gato panza arriba,0,
Defenderse con uñas y dientes,0,
Dejar a alguien con la boca abierta,0,
Dejar a alguien en la estacada,0,
Dejar helado a alguien,0,
Dejar mal sabor de boca,0,
Dejar pasar el último tren,0,
Dejar plantado,0,
Dejar que alguien/algo se cueza en su propia salsa,0,
Dejar un sabor agridulce,0,
Dejarse de cuentos,0,
Dejarse ir,0,
Dejarse la piel,0,
Dejarse pisar,0,
Descubrir el pastel,0,
Descubrir petróleo,0,
Despedirse a la francesa,0,
Despertar conciencias,0,
Después de la tempestad siempre llega la calma,0,
Dinamitar puentes,0,
Dispararse en un pie,0,
Divertirse como un enano,0,
"Donde comen dos, comen tres",0,
"Donde dije digo, digo Diego",0,
"Donde fueres, haz lo que vieres",0,
"Donde hay pelo, hay alegría",0,
"Donde las dan, las toman",0,
Dorar la píldora,0,
Dormir a pierna suelta,0,
Dormir como un lirón,0,
Dormir como un tronco,0,
Dormir conciencias,0,
Dormir la mona,0,
Dormirse en los laureles,0,
"Dos son compañía, tres multitud",0,
Duro de pelar,0,
Échale guindas al pavo,0,
Echar a alguien a los perros,0,
Echar balones fuera,0,
Echar de comer aparte,0,
Echar el resto,0,
Echar en cara,0,
Echar espuma por la boca,0,
Echar humo la cabeza,0,
Echar las tripas por la boca,0,
Echar leña al fuego,0,
Echar los tejos,0,
Echar mal de ojo,0,
Echar margaritas a los cerdos,0,
Echar raíces,0,
Echar un jarro de agua fría,0,
Echar un ojo,0,
Echar una cabezada,0,
Echar una cana al aire,0,
Echar una mano,0,
Echarle cuento,0,
Echarle el guante,0,
Echarle huevos,0,
El mundo es un pañuelo,0,
El papel lo aguanta todo,0,
"El que la sigue, la consigue",0,
El que no llora no mama,0,
Empaparse de algo,0,
Empezar la casa por el tejado,0,
Empinar el codo,0,
Emplearse a fondo,0,
En boca cerrada no entran moscas,0,
En menos que canta un gallo,0,
En primavera la sangre altera,0,
En todas partes cuecen habas,0,
En un abrir y cerrar de ojos,0,
Encogerse de hombros,0,
Encontrar la horma de su zapato,0,
Encontrar una aguja en un pajar,0,
Endeudarse hasta las cejas,0,
Enterarse de lo que vale un peine,0,
Entrado en años,0,
Entrar a hurtadillas,0,
Entrar como elefante en cacharrería,0,
Entrar con buen pie,0,
Entrar con mal pie,0,
Entrar en vía muerta,0,
Entrar por un oído y salir por otro,0,
Éramos pocos y parió la abuela,0,
Errar como un alma en pena,0,
Es de cajón,0,
Es el quid de la cuestión,0,
Es peor el remedio que la enfermedad,0,
Es un ángel caído,0,
Es un arma de doble filo,0,
Es un asunto de faldas,0,
Es un callejón sin salida,0,
Es un círculo vicioso,0,
Es un comodín,0,
Es un grano en el culo,0,
Es un nido de ratas,0,
Es un punto y aparte,0,
Es un rayo de sol,0,
Es un zorro,0,
Es una muerte anunciada,0,
Es una sombra de lo que fue,0,
Es una víbora,0,
Esconder la cabeza bajo el ala,0,
Escuchar al corazón,0,
Escuchar llover,0,
Escupir al cielo,0,
Escurrir el bulto,0,
Esperar sentado a que pase algo,0,
Está lo mejor de cada casa,0,
Está que trina,0,
Está todo el pescado vendido,0,
Estar a dos velas,0,
Estar a la que salta,0,
Estar a la sombra,0,
Estar a las duras y a las maduras,0,
Estar a por uvas,0,
Estar a punto de caramelo,0,
Estar al loro,0,
Estar al pie del cañón,0,
Estar chupado,0,
Estar ciego,0,
Estar colado por alguien,0,
Estar como el palo de un gallinero,0,
Estar como sardinas en lata,0,
Estar como un fideo,0,
Estar como un flan,0,
Estar como un roble,0,
Estar como un tren,0,
Estar como una cabra,0,
Estar como una foca,0,
Estar como una regadera,0,
Estar como una rosa,0,
Estar como una sopa,0,
Estar como una tapia,0,
Estar como una vaca,0,
Estar como unas castañuelas,0,
Estar como unas Pascuas,0,
Estar con el agua al cuello,0,
Estar con un pie a cada lado de la calle,0,
Estar con un pie dentro y otro fuera,0,
Estar cortado,0,
Estar cortado por el mismo patrón,0,
Estar cuadrado,0,
Estar curado de espantos,0,
Estar de brazos cruzados,0,
Estar de un humor de perros,0,
Estar de vuelta de todo,0,
Estar dividido,0,
Estar el precio por las nubes,0,
Estar empanado,0,
Estar en ascuas,0,
Estar en Babia,0,
Estar en bancarrota,0,
Estar en boca de todo el mundo,0,
Estar en carne viva,0,
Estar en contacto,0,
Estar en cueros,0,
Estar en el  punto de mira,0,
Estar en el ajo,0,
Estar en el candelero,0,
Estar en el ojo del huracán,0,
Estar en el séptimo cielo,0,
Estar en la calle,0,
Estar en la edad del pavo,0,
Estar en la flor de la vida,0,
Estar en la luna,0,
Estar en la luna de Valencia,0,
Estar en la misma onda,0,
Estar en la parra,0,
Estar en la picota,0,
Estar en las manos de alguien,0,
Estar en las nubes,0,
Estar en las últimas,0,
Estar en números rojos,0,
Estar en pelotas,0,
Estar en pie de guerra,0,
Estar en todas partes,0,
Estar en una encrucijada,0,
Estar encantado de conocerse,0,
Estar enchufado,0,
Estar encima de alguien,0,
Estar entre dos fuegos,0,
Estar entre la espada y la pared,0,
Estar entre Pinto y Valdemoro,0,
Estar forrado de pasta,0,
Estar frito,0,
Estar fuera de juego,0,
Estar fuera de sí,0,
Estar hasta el gorro,0,
Estar hasta el moño,0,
Estar hasta la coronilla,0,
Estar hasta las narices,0,
Estar hecho mierda,0,
Estar hecho polvo,0,
Estar hecho un Cristo,0,
Estar hecho un lío,0,
Estar hecho un toro,0,
Estar lleno hasta la bandera,0,
Estar loco de atar,0,
Estar manga por hombro,0,
Estar mano sobre mano,0,
Estar más ancho que largo,0,
Estar más colgado que un cuadro,0,
Estar molido,0,
Estar mosqueado,0,
Estar muerto de frío,0,
Estar muy verde,0,
Estar negro,0,
Estar para el arrastre,0,
Estar planchado,0,
Estar por los suelos,0,
Estar que te sales,0,
Estar rascándose las pelotas,0,
Estar rayado,0,
Estar rendido,0,
Estar reventado,0,
Estar seco,0,
Estar sembrado,0,
Estar sin blanca,0,
Estar tirado,0,
Estar zumbado,0,
Estimar a ojo de buen cubero,0,
Estirar la pata,0,
Esto es Jauja,0,
Esto parece el corral de la Pacheca,0,
Esto parece el ejército de Pancho Villa,0,
Estrecharse el cinturón,0,
Faltar el canto de un duro,0,
Faltar un hervor,0,
Faltarle a alguien un tornillo,0,
Fusilar un texto,0,
Ganar cuatro perras,0,
Ganarse algo a pulso,0,
Ganarse el cielo,0,
Ganarse las lentejas,0,
Golpear en la línea de flotación,0,
Guardar cama,0,
Guardar las apariencias,0,
Ha salido rana,0,
Haber mucha tela que cortar,0,
Hablar a toro pasado,0,
Hablar con la pared,0,
Hablar en plata,0,
Hablar en román paladino,0,
Hablar por los codos,0,
Hablar por los descosidos,0,
Hace un frío que pela,0,
Hacer algo a pelo,0,
Hacer algo a sangre fría,0,
Hacer algo al pie de la letra,0,
Hacer algo codo con codo,0,
Hacer algo por huevos,0,
Hacer borrón y cuenta nueva,0,
Hacer buenas migas,0,
Hacer cábalas,0,
Hacer campana,0,
Hacer de la necesidad virtud,0,
Hacer de tripas corazón,0,
Hacer el agosto,0,
Hacer el cabra,0,
Hacer el indio,0,
Hacer el primo,0,
Hacer el trabajo sucio,0,
Hacer encaje de bolillos,0,
Hacer la calle,0,
Hacer la cuenta de la vieja,0,
Hacer la ola,0,
Hacer la pelota,0,
Hacer la rosca a alguien,0,
Hacer la visita del médico,0,
Hacer la vista gorda,0,
Hacer las américas,0,
Hacer las cuentas del Gran Capitán,0,
Hacer leña del árbol caído,0,
Hacer mutis por el foro,0,
Hacer novillos,0,
Hacer oídos sordos,0,
Hacer papilla a alguien,0,
Hacer pucheros,0,
Hacer rodar cabezas,0,
Hacer temblar los cimientos,0,
Hacer trampas al solitario,0,
Hacer un brindis al sol,0,
Hacer un corte de mangas,0,
Hacer un pacto con el diablo,0,
Hacer un tiempo de perros,0,
Hacer un trabajo de chinos,0,
Hacer una montaña de un grano de arena,0,
Hacerle la cabra a alguien,0,
Hacerle una faena a alguien,0,
Hacerse el sueco,0,
Hacerse la boca agua,0,
Hacerse la estrecha,0,
Hacerse la picha un lío,0,
Hasta el rabo todo es toro,0,
Hilar fino,0,
Hincar los codos,0,
Hinchar las narices,0,
Huir hacia adelante,0,
Hundirse en la miseria,0,
Importar un pimiento,0,
Inclinar la balanza,0,
Inflar las pelotas,0,
Ir a hacer gárgaras,0,
Ir a hacer puñetas,0,
Ir a la deriva,0,
Ir a medio gas,0,
Ir a piñón fijo,0,
Ir a por lana y volver trasquilado,0,
Ir a por todas,0,
Ir a saco,0,
Ir a toda leche,0,
Ir a toda pastilla,0,
Ir a trompicones,0,
Ir a tumba abierta,0,
Ir al grano,0,
Ir cagando leches,0,
Ir como la seda,0,
Ir como pollo sin cabeza,0,
Ir como un guante,0,
Ir como una bala,0,
Ir con la cabeza bien alta,0,
Ir contra reloj,0,
Ir contra viento y marea,0,
Ir de culo,0,
Ir de flor en flor,0,
Ir de frente,0,
Ir de paquete,0,
Ir en piloto automático,0,
Ir hecho un pincel,0,
Ir por la vía rápida,0,
Ir trompa,0,
Ir viento en popa,0,
Irse a dormir calentito,0,
Irse al garete,0,
Irse al infierno,0,
Irse al quinto pino,0,
Irse con el rabo entre las piernas,0,
Irse de la lengua,0,
Irse de la pinza,0,
Irse de las manos,0,
Irse de picos pardos,0,
Irse de rositas,0,
Irse el santo al cielo,0,
Irse por las patas abajo,0,
Irse por los cerros de Úbeda,0,
Joder la marrana,0,
Jugar al gato y al ratón,0,
Jugar con fuego,0,
Jugar en otra liga,0,
Jugar la última carta,0,
Jugar limpio,0,
Juntarse el hambre con las ganas de comer,0,
La cosa está que arde,0,
La fe mueve montañas,0,
La mar de bien,0,
La ocasión la pintan calva,0,
Labrarse un porvenir,0,
Lamerse las heridas,0,
Las armas las carga el diablo,0,
Las paredes oyen,0,
Lavar la ropa sucia en casa,0,
Lavarle la cara a algo,0,
Lavarse las manos,0,
Leer la cartilla,0,
Leerle el pensamiento a alguien,0,
Levantar ampollas,0,
Levantar la liebre,0,
Levantarse con el pie izquierdo,0,
Levar anclas,0,
Liarla parda,0,
Liarse la manta a la cabeza,0,
Limar asperezas,0,
Limpiar el nombre de alguien,0,
Llamar las cosas por su nombre,0,
Llegar a buen puerto,0,
Llegar con las manos vacías,0,
Llegar hasta el fondo de la cuestión,0,
Llegar por los pelos,0,
Llegar y besar el santo,0,
Llevar al huerto,0,
Llevar el agua a su molino,0,
Llevar en volandas,0,
Llevar una buena trompa,0,
Llevar una vida de perros,0,
Llevarlo claro,0,
Llevarse como el perro y el gato,0,
Llevarse el gato al agua,0,
Llevarse un chasco,0,
Llorar como un descosido,0,
Llorar como una magdalena,0,
Llorar lágrimas de cocodrilo,0,
Llover hostias,0,
Llueve a cántaros,0,
Lo cortés no quita lo valiente,0,
Lo dicen las malas lenguas,0,
Lo que no está en los escritos,0,
