mwe,frequency,length,type
no lo,122,2,ngram
no es,91,2,ngram
lo que,79,2,ngram
¿por qué,62,2,ngram
eso es,59,2,ngram
no me,54,2,ngram
"no, no",51,2,ngram
no te,47,2,ngram
voy a,40,2,ngram
es una,40,2,ngram
no hay,39,2,ngram
es un,38,2,ngram
esto es,37,2,ngram
por favor.,35,2,ngram
no puedo,33,2,ngram
vamos a,32,2,ngram
está bien.,32,2,ngram
es lo,31,2,ngram
"sí, lo",28,2,ngram
es muy,27,2,ngram
eso no,26,2,ngram
es mi,26,2,ngram
que sí.,25,2,ngram
tengo que,25,2,ngram
no sé,25,2,ngram
es lo que,25,3,ngram
"por favor,",24,2,ngram
de aquí.,23,2,ngram
gracias por,23,2,ngram
yo no,23,2,ngram
"no, no,",23,2,ngram
"no, no lo",23,3,ngram
ya lo,22,2,ngram
lo sé.,22,2,ngram
te lo,22,2,ngram
va a,22,2,ngram
¿de qué,22,2,ngram
que no.,21,2,ngram
es tu,21,2,ngram
a la,20,2,ngram
¿dónde está,20,2,ngram
es el,20,2,ngram
¿qué te,19,2,ngram
"lo siento,",19,2,ngram
es la,19,2,ngram
no tengo,19,2,ngram
no estoy,19,2,ngram
no está,19,2,ngram
no se,17,2,ngram
tenemos que,17,2,ngram
no quiero,17,2,ngram
muy bien.,17,2,ngram
"está bien,",17,2,ngram
¿qué es,17,2,ngram
¿qué demonios,16,2,ngram
creo que,16,2,ngram
¿quién es,16,2,ngram
se lo,15,2,ngram
tienes que,15,2,ngram
que te,15,2,ngram
a casa.,15,2,ngram
esto no,15,2,ngram
lo siento.,15,2,ngram
eres un,15,2,ngram
¿qué diablos,14,2,ngram
¿qué le,13,2,ngram
¿de dónde,13,2,ngram
¿cómo lo,13,2,ngram
¿cuál es,13,2,ngram
de acuerdo.,13,2,ngram
me lo,12,2,ngram
es eso?,12,2,ngram
"muy bien,",12,2,ngram
eso no es,12,3,ngram
¿qué estás,11,2,ngram
lo he,11,2,ngram
¿en qué,11,2,ngram
no tiene,11,2,ngram
en serio.,11,2,ngram
nada que,11,2,ngram
un buen,11,2,ngram
lo es.,11,2,ngram
es esto?,11,2,ngram
eso es lo,11,3,ngram
"no, no, no,",11,3,ngram
estoy bien.,10,2,ngram
de nuevo.,10,2,ngram
de ti.,10,2,ngram
a mí.,10,2,ngram
por qué?,10,2,ngram
¿no es,10,2,ngram
con él.,10,2,ngram
hay nada,10,2,ngram
soy yo.,10,2,ngram
"no, no.",10,2,ngram
¿y qué,10,2,ngram
lo hice.,10,2,ngram
está aquí.,10,2,ngram
no lo sé.,10,3,ngram
no hay nada,10,3,ngram
eso es lo que,10,4,ngram
hacer eso.,9,2,ngram
qué lo,9,2,ngram
no fue,9,2,ngram
¿qué pasa,9,2,ngram
¿qué quieres,9,2,ngram
¿qué está,9,2,ngram
gracias a,9,2,ngram
¿a dónde,9,2,ngram
es tan,9,2,ngram
¿qué hay,9,2,ngram
no puedes,9,2,ngram
no la,9,2,ngram
¿a qué,9,2,ngram
vas a,9,2,ngram
a hacer?,9,2,ngram
pero no,9,2,ngram
"de acuerdo,",9,2,ngram
es todo,9,2,ngram
no puede,9,2,ngram
claro que,9,2,ngram
¿cómo se,9,2,ngram
que hacer.,9,2,ngram
ese es,9,2,ngram
hacer esto.,9,2,ngram
¿por qué lo,9,3,ngram
es todo.,8,2,ngram
no he,8,2,ngram
no tienes,8,2,ngram
un momento.,8,2,ngram
es verdad.,8,2,ngram
¿sabes lo,8,2,ngram
mucho tiempo.,8,2,ngram
qué estás,8,2,ngram
lo hizo.,8,2,ngram
haciendo aquí?,8,2,ngram
lo creo.,8,2,ngram
no va,8,2,ngram
que estás,8,2,ngram
estás haciendo?,8,2,ngram
no tenemos,8,2,ngram
lo sabe.,8,2,ngram
no seas,8,2,ngram
buena idea.,8,2,ngram
¿por qué?,8,2,ngram
me siento,8,2,ngram
por aquí.,8,2,ngram
hablar con,8,2,ngram
qué te,8,2,ngram
por eso.,8,2,ngram
yo lo,8,2,ngram
tú lo,8,2,ngram
un minuto.,8,2,ngram
no puedo.,8,2,ngram
¿sabes lo que,8,3,ngram
no va a,8,3,ngram
lo sabes.,7,2,ngram
"sí, es",7,2,ngram
todo lo,7,2,ngram
que hacerlo.,7,2,ngram
en serio?,7,2,ngram
en el,7,2,ngram
que hacer,7,2,ngram
es su,7,2,ngram
nos vemos,7,2,ngram
yo me,7,2,ngram
todo está,7,2,ngram
estoy muy,7,2,ngram
¿no te,7,2,ngram
esa es,7,2,ngram
la verdad.,7,2,ngram
eso fue,7,2,ngram
no voy,7,2,ngram
hay de,7,2,ngram
de qué,7,2,ngram
de eso.,7,2,ngram
deja de,7,2,ngram
te veré,7,2,ngram
un poco.,7,2,ngram
me voy,7,2,ngram
lo haré.,7,2,ngram
que lo,7,2,ngram
por supuesto.,7,2,ngram
¿cómo te,7,2,ngram
es cierto.,7,2,ngram
no soy,7,2,ngram
lo has,7,2,ngram
un problema.,7,2,ngram
en casa.,7,2,ngram
otra vez.,7,2,ngram
estoy aquí.,7,2,ngram
tiene que,7,2,ngram
una buena,7,2,ngram
qué no,7,2,ngram
es para,7,2,ngram
"buenas noches,",7,2,ngram
¿qué ha,7,2,ngram
sé lo,7,2,ngram
mi culpa.,7,2,ngram
dame un,7,2,ngram
no le,7,2,ngram
qué es?,7,2,ngram
tengo una,7,2,ngram
me gusta.,7,2,ngram
¿sabes qué?,7,2,ngram
más tarde.,7,2,ngram
la cama.,7,2,ngram
no voy a,7,3,ngram
"no, no, no.",7,3,ngram
¿por qué no,7,3,ngram
sé lo que,7,3,ngram
y lo,6,2,ngram
por la,6,2,ngram
"lo sé,",6,2,ngram
es demasiado,6,2,ngram
me voy.,6,2,ngram
mi casa.,6,2,ngram
me alegro,6,2,ngram
a dormir.,6,2,ngram
esta bien.,6,2,ngram
ya me,6,2,ngram
espero que,6,2,ngram
lo entiendo.,6,2,ngram
un segundo.,6,2,ngram
a todos.,6,2,ngram
que me,6,2,ngram
supongo que,6,2,ngram
sé de,6,2,ngram
nada de,6,2,ngram
¿qué tal,6,2,ngram
lo hago.,6,2,ngram
es mío.,6,2,ngram
es bueno.,6,2,ngram
en paz.,6,2,ngram
crees que,6,2,ngram
a morir.,6,2,ngram
la policía.,6,2,ngram
a mí,6,2,ngram
estás haciendo,6,2,ngram
a ti.,6,2,ngram
qué es,6,2,ngram
¿qué me,6,2,ngram
puede ser.,6,2,ngram
¿dónde están,6,2,ngram
para ti.,6,2,ngram
está en,6,2,ngram
estoy de,6,2,ngram
de aquí!,6,2,ngram
lo tengo.,6,2,ngram
no podemos,6,2,ngram
todo el,6,2,ngram
no importa.,6,2,ngram
una mierda.,6,2,ngram
sé que,6,2,ngram
en camino.,6,2,ngram
puedo hacer,6,2,ngram
tiene razón.,6,2,ngram
en la,6,2,ngram
yo te,6,2,ngram
ha pasado?,6,2,ngram
¿qué quiere,6,2,ngram
qué no?,6,2,ngram
lo siento,6,2,ngram
lo hiciste.,6,2,ngram
¿quién te,6,2,ngram
yo no lo,6,3,ngram
no es tan,6,3,ngram
no sé de,6,3,ngram
esto no es,6,3,ngram
me voy a,6,3,ngram
todo lo que,6,3,ngram
hay nada que,6,3,ngram
¿qué es lo,6,3,ngram
"no, no es",6,3,ngram
a la cama.,6,3,ngram
es una buena,6,3,ngram
no hay nada que,6,4,ngram
¿qué es lo que,6,4,ngram
"no, no, no, no,",6,4,ngram
"sí, estoy",5,2,ngram
te pasa?,5,2,ngram
que ir.,5,2,ngram
lo dije.,5,2,ngram
que sea.,5,2,ngram
fue un,5,2,ngram
un vistazo.,5,2,ngram
encantado de,5,2,ngram
de mí?,5,2,ngram
un placer.,5,2,ngram
salir de,5,2,ngram
¿y tú?,5,2,ngram
sólo un,5,2,ngram
¿puedo hablar,5,2,ngram
¿estás bien?,5,2,ngram
hace mucho,5,2,ngram
la puerta.,5,2,ngram
¿qué están,5,2,ngram
lo sabemos.,5,2,ngram
un trato.,5,2,ngram
hacer algo.,5,2,ngram
"no, por",5,2,ngram
¿no lo,5,2,ngram
¿es eso,5,2,ngram
¿y el,5,2,ngram
eres mi,5,2,ngram
tienes razón.,5,2,ngram
que se,5,2,ngram
que si.,5,2,ngram
dios mío.,5,2,ngram
puedes hacer,5,2,ngram
a estar,5,2,ngram
estar bien.,5,2,ngram
es posible.,5,2,ngram
es suficiente.,5,2,ngram
por dios.,5,2,ngram
es culpa,5,2,ngram
estás hablando?,5,2,ngram
quiero hablar,5,2,ngram
tiene sentido.,5,2,ngram
el tiempo.,5,2,ngram
está pasando?,5,2,ngram
está mal.,5,2,ngram
"sí, ya",5,2,ngram
ya se,5,2,ngram
esta noche.,5,2,ngram
muy bueno.,5,2,ngram
ha pasado,5,2,ngram
sé qué,5,2,ngram
significa eso?,5,2,ngram
una locura.,5,2,ngram
he estado,5,2,ngram
te amo.,5,2,ngram
fue eso?,5,2,ngram
has hecho?,5,2,ngram
¿cómo me,5,2,ngram
buen hombre.,5,2,ngram
hablar contigo.,5,2,ngram
a hacer,5,2,ngram
tengo un,5,2,ngram
lo eres.,5,2,ngram
está mi,5,2,ngram
"sí, sí.",5,2,ngram
¿qué pasa?,5,2,ngram
a salvo.,5,2,ngram
estamos en,5,2,ngram
me gusta,5,2,ngram
lo veo.,5,2,ngram
lo se.,5,2,ngram
estoy en,5,2,ngram
por supuesto,5,2,ngram
supuesto que,5,2,ngram
a ver.,5,2,ngram
¿hay alguien,5,2,ngram
no hagas,5,2,ngram
te ves,5,2,ngram
me alegra,5,2,ngram
por el,5,2,ngram
estoy tan,5,2,ngram
qué puedo,5,2,ngram
te veo,5,2,ngram
tengas razón.,5,2,ngram
"bien, gracias.",5,2,ngram
es gracioso.,5,2,ngram
¿qué has,5,2,ngram
lo sabía.,5,2,ngram
culpa mía.,5,2,ngram
te vayas.,5,2,ngram
qué se,5,2,ngram
es ese,5,2,ngram
está muy,5,2,ngram
yo también,5,2,ngram
lo que sea.,5,3,ngram
no me lo,5,3,ngram
salir de aquí.,5,3,ngram
sé de qué,5,3,ngram
a la policía.,5,3,ngram
es todo lo,5,3,ngram
a estar bien.,5,3,ngram
ese es el,5,3,ngram
no sé qué,5,3,ngram
¿dónde está mi,5,3,ngram
¿por qué no?,5,3,ngram
hablar con él.,5,3,ngram
no está bien.,5,3,ngram
por supuesto que,5,3,ngram
no sé de qué,5,4,ngram
es todo lo que,5,4,ngram
"no, no, no, no.",5,4,ngram
lo estoy.,4,2,ngram
no sé.,4,2,ngram
seguro de,4,2,ngram
¿cómo está,4,2,ngram
es correcto.,4,2,ngram
lo sabes?,4,2,ngram
¿y tú,4,2,ngram
demasiado tarde.,4,2,ngram
lo hagas.,4,2,ngram
¿cómo es,4,2,ngram
alegro de,4,2,ngram
he visto.,4,2,ngram
no eres,4,2,ngram
ni idea.,4,2,ngram
vete a,4,2,ngram
¿qué estamos,4,2,ngram
es justo.,4,2,ngram
¿quieres que,4,2,ngram
¿quién está,4,2,ngram
te preocupes.,4,2,ngram
no digas,4,2,ngram
a ir.,4,2,ngram
tu ayuda.,4,2,ngram
decirte algo.,4,2,ngram
por ti.,4,2,ngram
es real.,4,2,ngram
lo digas.,4,2,ngram
algo que,4,2,ngram
lo está.,4,2,ngram
¿eso es,4,2,ngram
que quieres?,4,2,ngram
es asunto,4,2,ngram
en ello.,4,2,ngram
ya te,4,2,ngram
quieres que,4,2,ngram
¿vas a,4,2,ngram
con él?,4,2,ngram
¿con quién,4,2,ngram
por qué.,4,2,ngram
lo conozco.,4,2,ngram
¿para qué,4,2,ngram
buen día.,4,2,ngram
que hago.,4,2,ngram
lo haría.,4,2,ngram
ninguna parte.,4,2,ngram
ya veo.,4,2,ngram
"sí, sí,",4,2,ngram
todo va,4,2,ngram
¿tienes un,4,2,ngram
qué me,4,2,ngram
muy amable.,4,2,ngram
es importante.,4,2,ngram
está tu,4,2,ngram
se está,4,2,ngram
"sí, eso",4,2,ngram
¿lo has,4,2,ngram
vete al,4,2,ngram
lo son.,4,2,ngram
te quiero.,4,2,ngram
la vida.,4,2,ngram
es perfecto.,4,2,ngram
¿qué coño,4,2,ngram
una pregunta.,4,2,ngram
no creo,4,2,ngram
llegar tarde.,4,2,ngram
por eso,4,2,ngram
una broma.,4,2,ngram
y yo.,4,2,ngram
para mí.,4,2,ngram
un hombre.,4,2,ngram
que es.,4,2,ngram
en mí.,4,2,ngram
es genial.,4,2,ngram
muchas gracias.,4,2,ngram
todos lo,4,2,ngram
de llegar.,4,2,ngram
el momento.,4,2,ngram
así de,4,2,ngram
se acabó.,4,2,ngram
lo harás.,4,2,ngram
mira lo,4,2,ngram
por mí.,4,2,ngram
un accidente.,4,2,ngram
lo mismo.,4,2,ngram
"no, lo",4,2,ngram
un error.,4,2,ngram
te importa?,4,2,ngram
con eso?,4,2,ngram
¿qué haces,4,2,ngram
es él.,4,2,ngram
yo no.,4,2,ngram
lo hace.,4,2,ngram
espera un,4,2,ngram
¿cual es,4,2,ngram
eso está,4,2,ngram
pasa con,4,2,ngram
hora de,4,2,ngram
he dicho,4,2,ngram
¿qué hace,4,2,ngram
ya es,4,2,ngram
¿no me,4,2,ngram
es imposible.,4,2,ngram
de acuerdo?,4,2,ngram
lo vi.,4,2,ngram
al baño.,4,2,ngram
no sabes,4,2,ngram
te ha,4,2,ngram
"sí, me",4,2,ngram
¿y eso,4,2,ngram
eso me,4,2,ngram
me estás,4,2,ngram
ya casi,4,2,ngram
con ella.,4,2,ngram
yo también.,4,2,ngram
la tengo.,4,2,ngram
eres tú?,4,2,ngram
¿qué carajo,4,2,ngram
puedo hacer.,4,2,ngram
¿qué se,4,2,ngram
"si, lo",4,2,ngram
me conoces.,4,2,ngram
en problemas.,4,2,ngram
el arma.,4,2,ngram
es por,4,2,ngram
mi palabra.,4,2,ngram
"no, es",4,2,ngram
¡fuera de,4,2,ngram
de mi,4,2,ngram
¿me estás,4,2,ngram
así es.,4,2,ngram
ya no,4,2,ngram
"oh, dios",4,2,ngram
dios mio.,4,2,ngram
te preocupes,4,2,ngram
preocupes por,4,2,ngram
lo hicimos.,4,2,ngram
es nada.,4,2,ngram
de puta!,4,2,ngram
que tengas,4,2,ngram
"bien, está",4,2,ngram
lo soy.,4,2,ngram
ven a,4,2,ngram
"buenos días,",4,2,ngram
buenas noches.,4,2,ngram
¿qué puedo,4,2,ngram
seguro que,4,2,ngram
haces aquí?,4,2,ngram
con esto.,4,2,ngram
no lo hagas.,4,3,ngram
no tienes que,4,3,ngram
me alegro de,4,3,ngram
creo que sí.,4,3,ngram
no te preocupes.,4,3,ngram
¿qué hay de,4,3,ngram
eso es todo.,4,3,ngram
lo que quieres?,4,3,ngram
no es asunto,4,3,ngram
¿qué quieres que,4,3,ngram
no puede ser.,4,3,ngram
¿cuál es el,4,3,ngram
no es lo,4,3,ngram
una buena idea.,4,3,ngram
lo que es.,4,3,ngram
¿cuál es la,4,3,ngram
un buen hombre.,4,3,ngram
mira lo que,4,3,ngram
es un buen,4,3,ngram
¿qué pasa con,4,3,ngram
pero no lo,4,3,ngram
no lo hice.,4,3,ngram
que hacer algo.,4,3,ngram
no te preocupes,4,3,ngram
te preocupes por,4,3,ngram
no es nada.,4,3,ngram
¿en qué puedo,4,3,ngram
no te preocupes por,4,4,ngram
estamos bien.,3,2,ngram
justo aquí.,3,2,ngram
estás aquí.,3,2,ngram
cuidado con,3,2,ngram
soy tu,3,2,ngram
lo dijo.,3,2,ngram
un placer,3,2,ngram
placer conocerte.,3,2,ngram
por venir.,3,2,ngram
vale la,3,2,ngram
es increíble.,3,2,ngram
en ti.,3,2,ngram
has visto?,3,2,ngram
fue culpa,3,2,ngram
culpa tuya.,3,2,ngram
haz lo,3,2,ngram
tú no,3,2,ngram
no tenía,3,2,ngram
¿cómo estás?,3,2,ngram
puede que,3,2,ngram
lo saben.,3,2,ngram
es divertido.,3,2,ngram
lo era.,3,2,ngram
¿quién lo,3,2,ngram
lo hizo?,3,2,ngram
sé quién,3,2,ngram
quién es.,3,2,ngram
es interesante.,3,2,ngram
nueva york.,3,2,ngram
un monstruo.,3,2,ngram
se ve,3,2,ngram
y eso,3,2,ngram
lo harán.,3,2,ngram
dónde está.,3,2,ngram
qué está,3,2,ngram
a hacerlo.,3,2,ngram
ha terminado.,3,2,ngram
es extraño.,3,2,ngram
acabo de,3,2,ngram
¿cuánto tiempo,3,2,ngram
ir a,3,2,ngram
¿y yo,3,2,ngram
decir eso.,3,2,ngram
no era,3,2,ngram
está haciendo?,3,2,ngram
tu problema?,3,2,ngram
estará bien.,3,2,ngram
he hecho.,3,2,ngram
"no, en",3,2,ngram
he dicho.,3,2,ngram
que haga?,3,2,ngram
a pasar.,3,2,ngram
¿qué crees,3,2,ngram
él está,3,2,ngram
está muerto.,3,2,ngram
"espera, espera,",3,2,ngram
"espera, espera.",3,2,ngram
lo voy,3,2,ngram
no hice,3,2,ngram
dios santo.,3,2,ngram
puedo hacerlo.,3,2,ngram
de dios.,3,2,ngram
tiene nada,3,2,ngram
el mejor.,3,2,ngram
no necesito,3,2,ngram
por su,3,2,ngram
lo tienes.,3,2,ngram
ven aquí.,3,2,ngram
"bien, señor.",3,2,ngram
un desastre.,3,2,ngram
una cosa.,3,2,ngram
te parece?,3,2,ngram
una hora.,3,2,ngram
buenas noticias.,3,2,ngram
¿quién diablos,3,2,ngram
diablos es,3,2,ngram
es usted?,3,2,ngram
están los,3,2,ngram
hablar de,3,2,ngram
mi señor.,3,2,ngram
lo juro.,3,2,ngram
es difícil,3,2,ngram
se fue.,3,2,ngram
me parece,3,2,ngram
pasa aquí?,3,2,ngram
de pie.,3,2,ngram
tengo mucho,3,2,ngram
que quieras.,3,2,ngram
a trabajar.,3,2,ngram
tengo nada,3,2,ngram
no volverá,3,2,ngram
volverá a,3,2,ngram
es horrible.,3,2,ngram
"oh, por",3,2,ngram
tiempo para,3,2,ngram
en absoluto.,3,2,ngram
así fue.,3,2,ngram
a funcionar.,3,2,ngram
el arma!,3,2,ngram
mi trabajo.,3,2,ngram
"oh, no,",3,2,ngram
estoy segura.,3,2,ngram
lo hará.,3,2,ngram
lo estás.,3,2,ngram
es terrible.,3,2,ngram
es necesario.,3,2,ngram
mi amigo.,3,2,ngram
de menos.,3,2,ngram
que sea,3,2,ngram
dame la,3,2,ngram
"¿qué pasa,",3,2,ngram
es así.,3,2,ngram
has estado?,3,2,ngram
se vaya.,3,2,ngram
¿qué estoy,3,2,ngram
"por aquí,",3,2,ngram
quédate con,3,2,ngram
con nosotros.,3,2,ngram
ya voy.,3,2,ngram
te diré,3,2,ngram
una pesadilla.,3,2,ngram
vuelve a,3,2,ngram
soy un,3,2,ngram
un idiota.,3,2,ngram
yo tampoco.,3,2,ngram
qué hacer.,3,2,ngram
está mejor.,3,2,ngram
bueno verte.,3,2,ngram
las manos,3,2,ngram
de encima!,3,2,ngram
confiar en,3,2,ngram
está pasando,3,2,ngram
hay nadie,3,2,ngram
"bien, entonces.",3,2,ngram
de ninguna,3,2,ngram
lo estoy,3,2,ngram
no está.,3,2,ngram
estoy hablando.,3,2,ngram
fue mi,3,2,ngram
la vuelta.,3,2,ngram
¿qué vas,3,2,ngram
no veo,3,2,ngram
el dinero.,3,2,ngram
a dios.,3,2,ngram
dónde está?,3,2,ngram
ha sido,3,2,ngram
¿qué tal?,3,2,ngram
eso es.,3,2,ngram
aquí vamos.,3,2,ngram
tal vez,3,2,ngram
vez no.,3,2,ngram
de nada.,3,2,ngram
se acabó,3,2,ngram
aquí estoy.,3,2,ngram
¿qué más,3,2,ngram
hacer eso?,3,2,ngram
es fantástico.,3,2,ngram
tu madre.,3,2,ngram
hacer nada.,3,2,ngram
en paz!,3,2,ngram
¿te sientes,3,2,ngram
a suceder.,3,2,ngram
te he,3,2,ngram
"favor, por",3,2,ngram
es este,3,2,ngram
es ella.,3,2,ngram
está pasando.,3,2,ngram
¿de que,3,2,ngram
puedes hacerlo.,3,2,ngram
ya no.,3,2,ngram
lo dijiste?,3,2,ngram
qué hacemos?,3,2,ngram
hora es?,3,2,ngram
ya sé.,3,2,ngram
¿qué fue,3,2,ngram
estamos aquí.,3,2,ngram
lo hiciste?,3,2,ngram
es mucho.,3,2,ngram
¿dónde diablos,3,2,ngram
muy dulce.,3,2,ngram
mi dios.,3,2,ngram
¿qué tienes,3,2,ngram
que no,3,2,ngram
ella está,3,2,ngram
está muerta.,3,2,ngram
la cabeza.,3,2,ngram
"no, estoy",3,2,ngram
un momento?,3,2,ngram
la puerta,3,2,ngram
que ir,3,2,ngram
lo recuerdo.,3,2,ngram
yo sí.,3,2,ngram
que vas?,3,2,ngram
es diferente.,3,2,ngram
tu turno.,3,2,ngram
dame tu,3,2,ngram
con calma.,3,2,ngram
un asesino.,3,2,ngram
gusto en,3,2,ngram
ve a,3,2,ngram
eres muy,3,2,ngram
mi hijo.,3,2,ngram
están aquí.,3,2,ngram
"bien, de",3,2,ngram
"bien, vamos.",3,2,ngram
es maravilloso.,3,2,ngram
¿cómo puedes,3,2,ngram
tenemos un,3,2,ngram
su nombre?,3,2,ngram
eres tú.,3,2,ngram
siempre lo,3,2,ngram
mira quién,3,2,ngram
he hecho,3,2,ngram
a nadie.,3,2,ngram
de eso,3,2,ngram
es grandioso.,3,2,ngram
con eso.,3,2,ngram
es malo.,3,2,ngram
mejor que,3,2,ngram
es ridículo.,3,2,ngram
te llamaré,3,2,ngram
los ojos.,3,2,ngram
tu padre.,3,2,ngram
le importa.,3,2,ngram
tu madre?,3,2,ngram
dije eso.,3,2,ngram
mí también.,3,2,ngram
más preguntas.,3,2,ngram
te conozco.,3,2,ngram
de ahí!,3,2,ngram
nada más.,3,2,ngram
lo fue.,3,2,ngram
que decir.,3,2,ngram
si no,3,2,ngram
"te quiero,",3,2,ngram
me has,3,2,ngram
dame el,3,2,ngram
se supone,3,2,ngram
supone que,3,2,ngram
del camino!,3,2,ngram
